,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
3202,"Chicken breast tenders, uncooked, breaded",100 g,263,16g,3.3g,41mg,536.00 mg,96.4 mg,12.00 mcg,0.00 mcg,5.710 mg,0.855 mg,0.091 mg,0.211 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.27 mcg,0.041 mg,0.8 mg,9.00 IU,0.08 mg,0.08 mg,14.7 mcg,19.00 mg,0.205 mg,1.11 mg,23.00 mg,0.229 mg,211.00 mg,214.00 mg,24.7 mcg,0.78 mg,14.73 g,0.722 g,0.804 g,1.189 g,0.167 g,2.242 g,0.632 g,0.435 g,0.075 g,0.603 g,1.019 g,0.988 g,0.300 g,0.525 g,0.675 g,0.538 g,0.557 g,0.184 g,0.331 g,0.659 g,15.01 g,1.1 g,0.37 g,0.00 g,0.00 g,0.15 g,0.00 g,0.15 g,0.07 g,15.75 g,3.260 g,6.480 g,3.340 g,41.00 mg,0.0 g,1.77 g,0.00 mg,0.00 mg,52.74 g
1435,"Turkey breast, prepackaged, sliced",100 g,100,2.4g,0.3g,50mg,922.00 mg,33.1 mg,4.00 mcg,0.00 mcg,7.150 mg,0.320 mg,0.145 mg,0.038 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.37 mcg,0.410 mg,0.0 mg,2.00 IU,0.13 mg,0.13 mg,0.0 mcg,7.00 mg,0.024 mg,0.34 mg,20.00 mg,0.012 mg,234.00 mg,401.00 mg,13.0 mcg,0.80 mg,16.33 g,1.016 g,1.185 g,1.576 g,0.172 g,2.612 g,0.893 g,0.483 g,0.136 g,0.731 g,1.347 g,1.460 g,0.480 g,0.636 g,0.722 g,0.693 g,0.749 g,0.186 g,0.578 g,0.756 g,2.34 g,0.0 g,3.28 g,0,0,0,0,0,0,2.37 g,0.318 g,0.813 g,0.503 g,50.00 mg,0.0 g,3.13 g,0.00 mg,0.00 mg,75.83 g
1561,"Fish, raw, wild, Atlantic, salmon",100 g,142,6.3g,1g,55mg,44.00 mg,0,25.00 mcg,0.00 mcg,7.860 mg,1.664 mg,0.380 mg,0.226 mg,40.00 IU,12.00 mcg,0,0,0,0,0,3.18 mcg,0.818 mg,0.0 mg,0,0,0,0,12.00 mg,0.250 mg,0.80 mg,29.00 mg,0.016 mg,200.00 mg,490.00 mg,36.5 mcg,0.64 mg,19.84 g,1.200 g,1.187 g,2.032 g,0.213 g,2.962 g,0.952 g,0.584 g,0,0.914 g,1.613 g,1.822 g,0.587 g,0.775 g,0.702 g,0.809 g,0.870 g,0.222 g,0.670 g,1.022 g,0.00 g,0.0 g,0,0,0,0,0,0,0,6.34 g,0.981 g,2.103 g,2.539 g,55.00 mg,0,2.54 g,0,0,68.50 g
1579,"Fish, raw, yellowfin, fresh, tuna",100 g,109,0.5g,0.2g,39mg,45.00 mg,65.0 mg,2.00 mcg,0.00 mcg,18.475 mg,0.280 mg,0.115 mg,0.118 mg,60.00 IU,18.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.08 mcg,0.933 mg,0.0 mg,69.00 IU,0.24 mg,0.24 mg,0.1 mcg,4.00 mg,0.036 mg,0.77 mg,35.00 mg,0.011 mg,278.00 mg,441.00 mg,90.6 mcg,0.37 mg,24.40 g,1.414 g,1.399 g,2.394 g,0.251 g,3.489 g,1.122 g,0.688 g,0,1.077 g,1.900 g,2.147 g,0.692 g,0.913 g,0.827 g,0.954 g,1.025 g,0.262 g,0.789 g,1.204 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,0.49 g,0.172 g,0.116 g,0.147 g,39.00 mg,0.0 g,1.64 g,0.00 mg,0.00 mg,74.03 g
1814,"Eggs",100 g,155,5.6g,1.1g,277mg,162.00 mg,255.7 mg,17.00 mcg,0.00 mcg,0.090 mg,0,0.300 mg,0.010 mg,410.00 IU,21.00 mcg,0.00 mcg,246.00 mcg,0.00 mcg,0.00 mcg,0,0.17 mcg,0.010 mg,0.0 mg,72.00 IU,0.84 mg,0.84 mg,1.8 mcg,17.00 mg,0.030 mg,0.23 mg,10.00 mg,0,30.00 mg,147.00 mg,22.9 mcg,0.14 mg,13.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50 g,0.0 g,7.50 g,0,0,0,0,0,0,5.60 g,1.052 g,2.339 g,1.778 g,277.00 mg,0.0 g,1.10 g,0.00 mg,0.00 mg,72.70 g
1936,"Yogurt, nonfat, vanilla, Greek",100 g,78,0.2g,0.1g,3mg,34.00 mg,15.2 mg,11.00 mcg,0.00 mcg,0.201 mg,0.386 mg,0.240 mg,0.042 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.64 mcg,0.050 mg,0.0 mg,35.00 IU,0.02 mg,0.02 mg,0.1 mcg,99.00 mg,0.018 mg,0.04 mg,10.00 mg,0.008 mg,119.00 mg,123.00 mg,9.7 mcg,0.46 mg,8.64 g,0.211 g,0.148 g,0.391 g,0.045 g,0.965 g,0.119 g,0.122 g,0,0.269 g,0.497 g,0.442 g,0.145 g,0.269 g,0.584 g,0.305 g,0.202 g,0.028 g,0.249 g,0.408 g,10.37 g,0.5 g,9.54 g,1.92 g,0.60 g,0.32 g,2.63 g,0.00 g,4.07 g,0.18 g,0.133 g,0.039 g,0.009 g,3.00 mg,0.0 g,0.55 g,0.00 mg,0.00 mg,80.26 g
2678,"Cheese, 2% milkfat, lowfat, cottage",100 g,81,2.3g,1.2g,12mg,308.00 mg,16.3 mg,8.00 mcg,0.00 mcg,0.103 mg,0.524 mg,0.251 mg,0.020 mg,225.00 IU,68.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,0.00 mcg,0,0.47 mcg,0.057 mg,0.0 mg,0.00 IU,0.08 mg,0.08 mg,0.0 mcg,111.00 mg,0.033 mg,0.13 mg,9.00 mg,0.015 mg,150.00 mg,125.00 mg,11.9 mcg,0.51 mg,10.45 g,0.409 g,0.467 g,0.963 g,0.062 g,2.446 g,0.209 g,0.306 g,0,0.556 g,1.049 g,0.878 g,0.253 g,0.543 g,1.155 g,0.601 g,0.470 g,0.138 g,0.568 g,0.703 g,4.76 g,0.0 g,4.00 g,0.00 g,0.12 g,0.00 g,3.87 g,0.00 g,0.00 g,2.27 g,1.235 g,0.516 g,0.083 g,12.00 mg,0.0 g,1.27 g,0.00 mg,0.00 mg,81.24 g
3159,"Tofu, prepared with calcium sulfate, fried",100 g,270,20g,2.9g,0,16.00 mg,0,27.00 mcg,0.00 mcg,0.100 mg,0.140 mg,0.050 mg,0.170 mg,0.00 IU,0,0,0,0,0,0,0.00 mcg,0.099 mg,0.0 mg,0.00 IU,0,0,0,961.00 mg,0.398 mg,4.87 mg,95.00 mg,1.495 mg,287.00 mg,146.00 mg,28.5 mcg,1.99 mg,18.82 g,0.842 g,1.491 g,2.218 g,0.062 g,3.581 g,0.798 g,0.469 g,0,0.924 g,1.516 g,0.961 g,0.230 g,0.910 g,1.181 g,1.105 g,0.854 g,0.255 g,0.764 g,0.948 g,8.86 g,3.9 g,0,0,0,0,0,0,0,20.18 g,2.918 g,4.456 g,11.390 g,0.00 mg,0,1.62 g,0,0,50.52 g
3245,"Beef, raw, 95% lean meat / 5% fat, ground",100 g,137,5g,2.2g,62mg,66.00 mg,70.9 mg,5.00 mcg,0.00 mcg,5.494 mg,0.652 mg,0.151 mg,0.041 mg,14.00 IU,4.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.24 mcg,0.392 mg,0.0 mg,3.00 IU,0.17 mg,0.17 mg,0.3 mcg,9.00 mg,0.078 mg,2.38 mg,22.00 mg,0.010 mg,198.00 mg,346.00 mg,17.4 mcg,5.09 mg,21.41 g,1.342 g,1.395 g,1.930 g,0.221 g,3.213 g,1.454 g,0.696 g,0.272 g,0.947 g,1.671 g,1.775 g,0.551 g,0.836 g,1.092 g,0.858 g,0.829 g,0.109 g,0.659 g,1.053 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.00 g,2.182 g,1.994 g,0.257 g,62.00 mg,0.0 g,1.05 g,0.00 mg,0.00 mg,73.24 g
3860,"Pork, raw or unheated, breakfast strips, cured",100 g,388,37g,13g,69mg,987.00 mg,0,3.00 mcg,0.00 mcg,3.650 mg,0.476 mg,0.180 mg,0.475 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.99 mcg,0.210 mg,27.2 mg,0,0,0,0,8.00 mg,0.063 mg,0.94 mg,12.00 mg,0.030 mg,137.00 mg,204.00 mg,25.0 mcg,1.66 mg,11.74 g,0.657 g,0.717 g,0.969 g,0.120 g,1.611 g,0.839 g,0.338 g,0,0.477 g,0.817 g,0.871 g,0.259 g,0.453 g,0.623 g,0.441 g,0.451 g,0.113 g,0.342 g,0.565 g,0.70 g,0.0 g,0,0,0,0,0,0,0,37.16 g,12.910 g,16.790 g,5.550 g,69.00 mg,0,3.00 g,0,0,47.41 g
4387,"Crustaceans, cooked (not previously frozen), shrimp",100 g,99,0.3g,0.1g,189mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.98 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20 g,0,0,0,0,0,0,0,0,0.28 g,0.056 g,0.048 g,0.079 g,189.00 mg,0,1.22 g,0,0,74.33 g
6778,"Fish, drained solids with bone, canned in oil, Atlantic, sardine",100 g,208,11g,1.5g,142mg,307.00 mg,75.0 mg,10.00 mcg,0.00 mcg,5.245 mg,0.642 mg,0.227 mg,0.080 mg,108.00 IU,32.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,8.94 mcg,0.167 mg,0.0 mg,193.00 IU,2.04 mg,2.04 mg,2.6 mcg,382.00 mg,0.186 mg,2.92 mg,39.00 mg,0.108 mg,490.00 mg,397.00 mg,52.7 mcg,1.31 mg,24.62 g,1.489 g,1.473 g,2.520 g,0.264 g,3.674 g,1.181 g,0.725 g,0,1.134 g,2.001 g,2.260 g,0.729 g,0.961 g,0.870 g,1.004 g,1.079 g,0.276 g,0.831 g,1.268 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,11.45 g,1.528 g,3.869 g,5.148 g,142.00 mg,0.0 g,3.38 g,0.00 mg,0.00 mg,59.61 g
264,"Fish, raw, tilapia",100 g,96,1.7g,0.6g,50mg,52.00 mg,42.5 mg,24.00 mcg,0.00 mcg,3.903 mg,0.487 mg,0.063 mg,0.041 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.58 mcg,0.162 mg,0.0 mg,124.00 IU,0.40 mg,0.40 mg,1.4 mcg,10.00 mg,0.075 mg,0.56 mg,27.00 mg,0.037 mg,170.00 mg,302.00 mg,41.8 mcg,0.33 mg,20.08 g,1.220 g,1.277 g,2.297 g,0.220 g,3.213 g,1.043 g,0.470 g,0,0.930 g,1.603 g,1.810 g,0.593 g,0.810 g,0.757 g,0.813 g,0.950 g,0.210 g,0.680 g,0.970 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,1.70 g,0.585 g,0.498 g,0.363 g,50.00 mg,0.0 g,0.93 g,0.00 mg,0.00 mg,78.08 g
986,"Beans, home prepared, baked",100 g,155,5.2g,1.9g,5mg,422.00 mg,0,48.00 mcg,0.00 mcg,0.408 mg,0.155 mg,0.049 mg,0.136 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.090 mg,1.1 mg,0.00 IU,0,0,0,61.00 mg,0.159 mg,1.99 mg,43.00 mg,0.255 mg,109.00 mg,358.00 mg,5.7 mcg,0.73 mg,5.54 g,0.236 g,0.356 g,0.637 g,0.062 g,0.841 g,0.232 g,0.153 g,0,0.242 g,0.428 g,0.379 g,0.086 g,0.287 g,0.239 g,0.288 g,0.228 g,0.067 g,0.155 g,0.282 g,21.63 g,5.5 g,0,0,0,0,0,0,0,5.15 g,1.948 g,2.133 g,0.740 g,5.00 mg,0,2.51 g,0,0,65.17 g
6118,"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",100 g,378,6g,0.6g,0,24.00 mg,99.3 mg,557.00 mcg,0.00 mcg,1.541 mg,1.588 mg,0.212 mg,0.477 mg,67.00 IU,3.00 mcg,0.00 mcg,40.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.535 mg,4.0 mg,0.00 IU,0.82 mg,0.82 mg,9.0 mcg,57.00 mg,0.656 mg,4.31 mg,79.00 mg,21.306 mg,252.00 mg,718.00 mg,0.0 mcg,2.76 mg,20.47 g,0.882 g,1.939 g,2.422 g,0.279 g,3.603 g,0.857 g,0.566 g,0,0.882 g,1.465 g,1.377 g,0.270 g,1.103 g,0.849 g,1.036 g,0.766 g,0.200 g,0.512 g,0.865 g,62.95 g,12.2 g,10.70 g,0,0,0,0,0,0,6.04 g,0.603 g,1.377 g,2.731 g,0.00 mg,0.0 g,2.85 g,0.00 mg,0.00 mg,7.68 g
39,"Lentils, raw, sprouted",100 g,106,0.6g,0.1g,0,11.00 mg,0,100.00 mcg,0.00 mcg,1.128 mg,0.578 mg,0.128 mg,0.228 mg,45.00 IU,2.00 mcg,0,0,0,0,0,0.00 mcg,0.190 mg,16.5 mg,0.00 IU,0,0,0,25.00 mg,0.352 mg,3.21 mg,37.00 mg,0.506 mg,173.00 mg,322.00 mg,0.6 mcg,1.51 mg,8.96 g,0.356 g,0.611 g,1.433 g,0.334 g,1.258 g,0.319 g,0.257 g,0,0.326 g,0.628 g,0.712 g,0.105 g,0.442 g,0.356 g,0.495 g,0.328 g,0,0.252 g,0.399 g,22.14 g,0,0,0,0,0,0,0,0,0.55 g,0.057 g,0.104 g,0.219 g,0.00 mg,0,1.00 g,0,0,67.34 g
